Genes,baseMean,log2FoldChange,lfcSE,pvalue,padj,combrank
THSD7B,26.2758456,1.213060798,0.127520974,2.67E-22,4.50E-21,4.50E-21
ANKS3,347.6538763,0.665204775,0.069375423,2.38E-22,4.04E-21,4.04E-21
CFD,720.545306,1.387271944,0.145296861,1.76E-22,3.01E-21,3.01E-21
ZNF423,192.0495544,0.859372329,0.089708975,1.85E-22,2.96E-21,2.96E-21
PAPLN,293.6925943,0.815380169,0.084800304,1.41E-22,2.90E-21,2.90E-21
ITM2A,397.4695705,0.918912103,0.095583371,1.24E-22,2.16E-21,2.16E-21
IFFO1,182.3814871,0.659317397,0.068291639,1.24E-22,2.15E-21,2.15E-21
LIMS2,371.2825438,0.73838235,0.076312576,8.79E-23,2.11E-21,2.11E-21
PAMR1,119.7499959,1.050251377,0.109232701,1.09E-22,1.99E-21,1.99E-21
CLEC1A,49.98290968,0.728519503,0.075222931,8.13E-23,1.44E-21,1.44E-21
F3,488.6985143,1.015720429,0.104971453,5.89E-23,1.05E-21,1.05E-21
HSPB6,351.4165027,1.235127995,0.127364662,4.25E-23,9.12E-22,9.12E-22
TGFB3,1566.7655,0.748794654,0.076941999,5.02E-23,9.01E-22,9.01E-22
PTCH2,35.40387397,1.024868287,0.105612821,4.70E-23,8.47E-22,8.47E-22
C19orf25,479.2340936,0.590632745,0.060559138,4.62E-23,8.47E-22,8.47E-22
EBF3,71.30272786,0.896393713,0.092206487,4.22E-23,7.67E-22,7.67E-22
PLIN1,606.5947881,1.708436393,0.176047678,3.78E-23,6.90E-22,6.90E-22
G0S2,260.5322066,1.342875799,0.137772827,2.57E-23,4.75E-22,4.75E-22
RBPMS,1175.077271,0.658892432,0.067235819,3.04E-23,4.69E-22,4.69E-22
SOCS2,391.6205693,1.10654175,0.113316677,2.38E-23,4.49E-22,4.49E-22
NIPSNAP3B,27.68665278,0.71905317,0.073271837,2.30E-23,4.28E-22,4.28E-22
TMEM91,97.45207738,0.793569445,0.081011844,2.24E-23,4.19E-22,4.19E-22
PLEKHH3,842.6542146,0.662606844,0.067380919,2.07E-23,3.89E-22,3.89E-22
PCSK4,97.1494964,1.138541528,0.116405948,1.95E-23,3.86E-22,3.86E-22
MYCT1,185.0864522,0.680307966,0.069241817,2.17E-23,3.85E-22,3.85E-22
TPSB2,995.9409642,1.389190623,0.142136324,1.94E-23,3.68E-22,3.68E-22
MFNG,211.7076065,0.748702487,0.076132225,1.77E-23,3.38E-22,3.38E-22
PGM5,146.1538822,1.14996331,0.117302401,1.62E-23,3.23E-22,3.23E-22
ABCA9,84.42537266,1.218413456,0.124643985,2.05E-23,3.16E-22,3.16E-22
CD34,1298.380869,0.597840853,0.060566724,1.56E-23,3.00E-22,3.00E-22
TBKBP1,234.4960818,0.692568376,0.07022144,1.50E-23,2.90E-22,2.90E-22
SEC16B,147.3106517,0.831300384,0.084431179,1.43E-23,2.77E-22,2.77E-22
PLD4,150.7387709,1.129990361,0.115077127,1.39E-23,2.71E-22,2.71E-22
NAALADL1,40.75319761,0.764846572,0.077565908,1.35E-23,2.64E-22,2.64E-22
ERG,306.9724143,0.669147551,0.067662959,1.12E-23,2.63E-22,2.63E-22
CHST7,54.8256756,0.594206694,0.060034337,1.33E-23,2.60E-22,2.60E-22
PECAM1,1145.299431,0.617083808,0.062433563,1.33E-23,2.60E-22,2.60E-22
EGR2,430.6988106,1.008140766,0.10250429,1.31E-23,2.56E-22,2.56E-22
NPR1,190.7296688,0.890529859,0.090388777,1.22E-23,2.41E-22,2.41E-22
SHC2,421.1224102,1.049576497,0.106642391,1.17E-23,2.35E-22,2.35E-22
CROCC,462.3418955,0.742508306,0.075102061,1.05E-23,2.08E-22,2.08E-22
IGFN1,7.282414828,2.138981628,0.217497107,1.03E-23,2.05E-22,2.05E-22
KLF9,1029.180669,0.634952514,0.06418225,1.18E-23,1.97E-22,1.97E-22
GRAP,135.3035876,0.71282605,0.071919157,9.12E-24,1.83E-22,1.83E-22
SEMA3G,499.369388,0.940083823,0.095164613,9.06E-24,1.82E-22,1.82E-22
BMX,19.49109155,1.36028139,0.138343202,1.11E-23,1.80E-22,1.80E-22
VWF,3689.62409,0.721690667,0.072649617,7.08E-24,1.44E-22,1.44E-22
CCDC61,169.4342642,0.688787209,0.069215482,6.22E-24,1.33E-22,1.33E-22
NEIL1,141.1010672,0.860959586,0.086690766,5.81E-24,1.11E-22,1.11E-22
SCNN1D,77.69622749,1.144227174,0.115394117,5.19E-24,1.07E-22,1.07E-22
LAMA2,706.5562387,1.00098921,0.100653388,4.35E-24,1.03E-22,1.03E-22
