Genes,log2FoldChange,padj,D_Basal_EvsT,D_Basal_myoepithelial_EvsT,D_Luminal_1_1_EvsT,D_Luminal_1_2_EvsT,D_Luminal_2_EvsT,Phi_Basal_TvsE,Phi_Basal_myoepithelial_TvsE,Phi_Luminal_1_1_TvsE,Phi_Luminal_1_2_TvsE,Phi_Luminal_2_TvsE,Phi_Basal_EvsT,Phi_Basal_myoepithelial_EvsT,Phi_Luminal_1_1_EvsT,Phi_Luminal_1_2_EvsT,Phi_Luminal_2_EvsT,log2FC_Basal_EvsT,log2FC_Basal_myoepithelial_EvsT,log2FC_Luminal_1_1_EvsT,log2FC_Luminal_1_2_EvsT,log2FC_Luminal_2_EvsT,LOG(padj)
PLXNA1,-0.858900793,1.21E-48,-0.000074248,-0.000127429,-1.24E-05,-3.33E-05,-7.81E-06,0.00026516,0.000475987,3.11E-05,9.98E-05,1.50E-05,0.000190912,0.000348558,1.87E-05,0.000066546,7.15E-06,-0.47395537,-0.449523431,-0.733859151,-0.584721114,-1.065586996,47.91721463
CACNA1A,-1.595764005,1.27E-48,-2.49E-06,-3.27E-06,-2.00E-06,-3.90E-06,-1.45E-06,2.58E-06,3.34E-06,2.10E-06,0.000004048,1.53E-06,8.92E-08,7.33E-08,1.02E-07,1.47E-07,7.99E-08,-4.853453167,-5.51010642,-4.362837438,-4.780957932,-4.257617196,47.89619628
SPHK1,-1.418397669,1.34E-48,-0.000121691,-0.00010843,-3.70E-05,-0.000126983,-4.08E-06,0.000122625,0.00010944,3.74E-05,0.000127933,4.29E-06,9.34E-07,1.01E-06,4.26E-07,9.50E-07,2.12E-07,-7.036594791,-6.759869596,-6.457661294,-7.072663706,-4.341372521,47.8728952
SMOX,-1.406807263,1.42E-48,-9.75E-06,-2.86E-05,-3.20E-05,-6.48E-05,-4.52E-06,9.93E-06,2.87E-05,3.22E-05,6.51E-05,4.66E-06,1.78E-07,1.48E-07,2.40E-07,2.94E-07,1.47E-07,-5.797865175,-7.595269221,-7.066255929,-7.790863078,-4.988841852,47.84771166
MRPS17,-0.898996018,1.46E-48,-3.40E-05,-2.45E-05,-4.13E-06,-6.33E-06,-5.63E-06,3.43E-05,2.47E-05,4.35E-06,6.67E-06,5.81E-06,2.65E-07,1.69E-07,2.20E-07,3.44E-07,1.78E-07,-7.013589264,-7.192750193,-4.307189635,-4.276618167,-5.029588049,47.83564714
MCCC1,-0.996098297,2.19E-48,-0.00013482,-0.000110352,-0.000291683,-0.000103553,-9.00E-05,0.000138871,0.000112915,0.000299697,0.000106289,9.18E-05,4.05E-06,2.56E-06,8.01E-06,2.74E-06,1.77E-06,-5.099270043,-5.460978443,-5.224822121,-5.279938456,-5.700031381,47.65955589
TMEM217,-1.343792799,2.24E-48,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,47.64975198
VNN1,-1.91798837,2.27E-48,-3.11E-06,-1.99E-06,-2.06E-05,-1.15E-05,-1.78E-06,3.23E-06,2.09E-06,2.07E-05,1.17E-05,1.89E-06,1.22E-07,9.49E-08,1.45E-07,1.89E-07,1.05E-07,-4.730067409,-4.45993573,-7.161518027,-5.955853194,-4.165340218,47.64397414
ICAM1,-1.376982559,2.51E-48,-0.000137627,-0.000252206,-3.43E-05,-1.56E-05,-0.000021631,0.000242171,0.000486082,5.76E-05,2.45E-05,3.21E-05,0.000104544,0.000233876,2.32E-05,8.90E-06,1.05E-05,-1.211915848,-1.055455889,-1.308962511,-1.459517105,-1.612485878,47.60032628
PLEKHF1,-1.52087065,2.90E-48,-2.41E-05,-1.98E-05,-6.88E-05,-6.92E-05,-1.75E-05,2.42E-05,2.00E-05,6.89E-05,6.95E-05,1.76E-05,1.40E-07,1.12E-07,1.65E-07,2.42E-07,1.23E-07,-7.439479824,-7.471409252,-8.706908439,-8.165407776,-7.15775082,47.537602
RFC2,-0.774101963,2.90E-48,-0.00016768,-0.000245186,-5.36E-05,-0.000124638,-0.000140728,0.000180748,0.00025998,5.76E-05,0.000134628,0.000148649,1.31E-05,0.000014794,3.96E-06,9.99E-06,7.92E-06,-3.789836299,-4.135316556,-3.863740183,-3.752416437,-4.230128905,47.537602
NDC80,-1.679844385,3.20E-48,-0.000268126,-2.32E-06,-3.04E-06,-4.55E-06,-2.72E-06,0.000268604,2.45E-06,3.23E-06,4.83E-06,2.86E-06,4.78E-07,1.39E-07,1.92E-07,2.82E-07,1.49E-07,-9.132951186,-4.140565655,-4.071835684,-4.096512337,-4.267653824,47.49485002
C15orf41,-0.936319097,3.40E-48,-1.35E-06,-1.66E-06,-1.73E-06,-6.74E-06,-2.90E-06,1.44E-06,1.73E-06,1.83E-06,6.89E-06,2.98E-06,8.76E-08,7.20E-08,1.00E-07,1.45E-07,7.85E-08,-4.035416653,-4.587000489,-4.195071206,-5.574073271,-5.244410078,47.46852108
RNF138,-0.746022954,3.56E-48,-1.57E-05,-4.37E-06,-7.25E-05,-0.000201197,-0.000212684,1.60E-05,4.58E-06,7.31E-05,0.000202221,0.000213355,2.86E-07,2.11E-07,5.70E-07,1.02E-06,6.71E-07,-5.802804251,-4.44317358,-7.002762045,-7.625009856,-8.312585541,47.44855
GARS,-0.748971451,3.56E-48,4.79E-07,-0.000001286,0.000001102,9.88E-06,-0.000032278,0.000102143,0.000132564,0.000153297,0.000294384,0.000333319,0.000102622,0.000131278,0.000154399,0.000304267,0.000301041,0.00674971,-0.014063875,0.010333945,0.047638609,-0.14694357,47.44855
JMJD4,-0.905731981,3.65E-48,-0.000100306,-6.05E-05,-0.000181816,-0.000135552,-0.000186982,0.000111537,0.000068197,0.000204312,0.000152842,0.000206127,1.12E-05,7.68E-06,2.25E-05,1.73E-05,0.000019145,-3.311976923,-3.14979575,-3.183007884,-3.144047955,-3.428493927,47.43770714
STEAP3,-1.158978363,3.74E-48,-1.67E-05,-0.000166823,-0.000188859,-0.000101968,-0.000191183,2.52E-05,0.000278142,0.000312893,0.000155804,0.000280148,8.48E-06,0.000111319,0.000124034,0.000053836,8.90E-05,-1.572146233,-1.321121757,-1.334933739,-1.533089145,-1.654881037,47.4271284
SOX30,-2.075135428,4.78E-48,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,47.3205721
PCDHB9,-1.565074642,4.95E-48,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,47.3053948
GPR3,-1.553098284,4.98E-48,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,47.30277066
SUPT5H,-0.64204076,5.29E-48,0.000016002,1.50E-06,0.000002879,0.000015921,-0.000016195,0.000282155,9.69E-05,0.000102606,0.000268856,0.000229959,0.000298157,9.84E-05,0.000105485,0.000284777,0.000213764,0.079584293,0.022149001,0.039922765,0.082998964,-0.105357753,47.27654433
CDC25B,-1.252243719,5.35E-48,-7.90E-05,-7.42E-05,-0.000532007,-2.61E-05,-5.32E-05,0.000108047,9.93E-05,0.000722283,0.000036864,6.99E-05,2.90E-05,2.51E-05,0.000190276,1.07E-05,1.66E-05,-1.895888487,-1.983724656,-1.924470613,-1.780078591,-2.070072185,47.27164622
FMNL2,-1.235306457,5.99E-48,-0.00027665,-0.000267734,-6.22E-05,-0.000303678,-2.88E-05,0.000292872,0.000285656,6.58E-05,0.000318914,2.99E-05,1.62E-05,1.79E-05,3.61E-06,0.000015236,1.18E-06,-4.174211093,-3.994483334,-4.188557796,-4.387611334,-4.660301899,47.22257318
CNGB1,-4.149040154,6.56E-48,-5.81E-08,-5.43E-08,-6.63E-08,-8.83E-08,-6.99E-08,7.54E-08,6.86E-08,8.61E-08,1.17E-07,8.54E-08,1.73E-08,1.42E-08,1.98E-08,2.86E-08,1.55E-08,-2.121095388,-2.26726785,-2.119188161,-2.030904351,-2.458833674,47.18309616
